0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Oct/17- Dec/17,,"66,89,710.36","65,80,599.29",1.7%
2.External debt,` Crore,Oct/17- Dec/17,,"4,30,109.79","4,61,105.80",-6.7%
3.Internal debt,` Crore,Oct/17- Dec/17,,"62,59,600.57","61,19,493.49",2.3%
4 Other liabilities,` Crore,Oct/17- Dec/17,,"8,49,949.84","8,10,427.95",4.9%
5. TOTAL DEBT (1+4),` Crore,Oct/17- Dec/17,,"75,39,660.20","73,91,027.24",2.0%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Oct/17- Dec/17,,"2,96,693.52","2,89,164.08",2.6%
II.Outstanding guaranteed debt,` Crore,Oct/17- Dec/17,,"2,47,750.79","2,53,203.69",-2.2%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q4 2017,"50,25,455.21","48,88,872.63",
(ii) Market loans in course of repayment,,Crore of `,Q4 2017,20.61,20.70,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q4 2017,"5,326.86","5,326.86",
(iv) 91 day Treasury Bills,,Crore of `,Q4 2017,"2,07,463.61","2,32,525.62",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q4 2017,0.00,0.00,
"(vi)  Special Securities converted into Marketable 
Securities",,Crore of `,Q4 2017,"59,817.95","59,817.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q4 2017,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of `,Q4 2017,"1,49,602.11","1,26,267.33",
(ix) 182 day Treasury Bills,,Crore of `,Q4 2017,"73,844.81","98,544.75",
(x) Market stabilisation Scheme,,Crore of `,Q4 2017,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q4 2017,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q4 2017,"1,34,989.00","1,44,990.13",
(xiii) Gold Bonds.,,Crore of `,Q4 2017,"6,547.94","6,010.86",
(xiv) Compensation & other bonds,,Crore of `,Q4 2017,"61,840.29","54,326.23",
(xv) Securities issued to International Financial Institutions,,Crore of `,Q4 2017,"1,04,124.06","1,02,510.59",
(xvi) Securities against Small Savings,,Crore of `,Q4 2017,"1,79,848.62","1,49,560.34",
"(xvii)Spl.GOI Sec.issued to NSSF against  reinvestment of 
Central Govt. Securities",,Crore of `,Q4 2017,"2,50,719.5","2,50,719.5",
Total-Internal debt,,Crore of `,Q4 2017,"62,59,600.57","61,19,493.49",
2.External debt #,,Crore of `,Q4 2017,"4,30,109.79","4,61,105.80",
Total Public debt,,Crore of `,Q4 2017,"66,89,710.36","65,80,599.29",
B. Other liabilities,,Crore of `,Q4 2017,"8,49,949.84","8,10,427.95",
1. National Small Savings Fund,,Crore of `,Q4 2017,"1,09,262.53","95,957.70",
2 . State Provident Funds,,Crore of `,Q4 2017,"1,91,133.32","1,89,098.25",
3. Other Accounts,,Crore of `,Q4 2017,"3,22,206.95","3,22,295.31",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q4 2017,"1,02,733.75","1,02,775.72",
(ii) Other items.,,Crore of `,Q4 2017,"2,19,473.20","2,19,519.59",
4. Reserve Funds & Deposits,,Crore of `,Q4 2017,"2,27,347.04","2,03,076.69",
(i) Bearing interest,,Crore of `,Q4 2017,"1,31,448.55","1,25,234.74",
(ii) Not bearing interest,,Crore of `,Q4 2017,"95,898.49","77,841.95",
TOTAL DEBT,,Crore of `,Q4 2017,"75,39,660.20","73,91,027.24",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q4 2017,"2,96,693.52","2,89,164.08",
(ii) Outstanding guaranteed debt,,Crore of `,Q4 2017,"2,47,750.79","2,53,203.69",
"Note: * Current, ** Previous, ***Q 4= Fourth Quarter  (Oct - Dec 2017)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-December 2017.,,,,,,
