0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Apr/18 - Jun/18,,"71,25,118.88","68,84,280.69",3.5%
2.External debt,` Crore,Apr/18 - Jun/18,,"5,01,220.73","4,83,005.19",3.8%
3. Internal debt,` Crore,Apr/18 - Jun/18,,"66,23,898.15","64,01,275.50",3.5%
4 Other liabilities,` Crore,Apr/18 - Jun/18,,"8,55,548.79","9,14,492.27",-6.4%
5. TOTAL DEBT (1+4),` Crore,Apr/18 - Jun/18,,"79,80,667.67","77,98,772.96",2.3%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Apr/18 - Jun/18,,310377.91*,"3,10,377.91",
II.Outstanding guaranteed debt,` Crore,Apr/18 - Jun/18,,273710.83*,"2,73,710.83",
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of `,Q2 2018,"51,31,285.04","50,70,724.42",
(ii) Market loans in course of repayment,,Crore of `,Q2 2018,20.54,20.58,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q2 2018,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q2 2018,"1,76,428.35","1,38,725.92",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q2 2018,0.00,0.00,
"(vi) Special Securities converted into Marketable 
Securities",,Crore of `,Q2 2018,"53,817.95","53,817.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q2 2018,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of `,Q2 2018,"1,16,550.48","1,51,038.42",
(ix) 182 day Treasury Bills,,Crore of `,Q2 2018,"1,32,354.15","86,871.86",
(x) Market stabilisation Scheme,,Crore of `,Q2 2018,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q2 2018,"55,435.00",0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q2 2018,"1,77,953.00","1,59,685.00",
(xiii) Gold Bonds,,Crore of `,Q2 2018,"6,866.68","6,664.16",
(xiv) Compensation & other bonds,,Crore of `,Q2 2018,"66,405.31","65,438.50",
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q2 2018,"1,01,045.56","1,04,369.69",
(xvi) Securities against Small Savings,,Crore of `,Q2 2018,"4,80,736.09","4,83,919.00",
(xvii) Cash Management Bills,,Crore of `,Q2 2018,"45,000.00",0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of `,Q2 2018,"80,000.00","80,000.00",
Total-Internal debt,,Crore of `,Q2 2018,"66,23,898.15","64,01,275.50",
2.External debt #,,Crore of `,Q2 2018,"5,01,220.73","4,83,005.19",
Total Public debt,,Crore of `,Q2 2018,"71,25,118.88","68,84,280.69",
B. Other liabilities,,Crore of `,Q2 2018,"8,55,548.79","9,14,492.27",
1. National Small Savings Fund,,Crore of `,Q2 2018,"75,828.08","1,36,440.00",
2 . State Provident Funds,,Crore of `,Q2 2018,"2,02,946.71","2,00,676.00",
3. Other Accounts,,Crore of `,Q2 2018,"3,25,040.97","3,24,633.27",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q2 2018,"1,02,599.80","1,02,670.86",
(ii) Other items.,,Crore of `,Q2 2018,"2,22,441.17","2,21,962.41",
4. Reserve Funds & Deposits,,Crore of `,Q2 2018,"2,51,733.03","2,52,743.00",
(i) Bearing interest,,Crore of `,Q2 2018,"1,42,963.09","1,43,908.00",
(ii) Not bearing interest,,Crore of `,Q2 2018,"1,08,769.94","1,08,835.00",
TOTAL DEBT,,Crore of `,Q2 2018,"79,80,667.67","77,98,772.96",
Guaranteed debt,,,Q2 2018,,,
(i) Total guaranteed debt,,Crore of `,Q2 2018,310377.91*,"3,10,377.91",
(ii) Outstanding guaranteed debt,,Crore of `,Q2 2018,273710.83*,"2,73,710.83",
"Note: * Current, ** Previous, ***Q2= Second Quarter  (Apr - Jun 2018)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-March 2018,,,,,,
* Data for Q1 2018 has been repeated,,,,,,
