0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Apr/17 - Jun/17,,"63,97,867.4","61,13,109.73",4.7%
2.External debt,` Crore,Apr/17 - Jun/17,,"4,43,942.57","4,43,237.27",0.2%
3.Internal debt,` Crore,Apr/17 - Jun/17,,"59,53,924.83","56,69,872.46",5.0%
4 Other liabilities,` Crore,Apr/17 - Jun/17,,"7,68,354.23","8,21,091.3",-6.4%
5. TOTAL DEBT (1+4),` Crore,Apr/17 - Jun/17,,"71,66,221.63","69,34,201.03",3.3%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Apr/17 - Jun/17,,"2,73,839.79","3,31,579.16",-17.4%
II.Outstanding guaranteed debt,` Crore,Apr/17 - Jun/17,,"2,34,816.62","2,51,917.02",-6.8%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q2 2017,"47,80,811.53","46,49,466.55",
(ii) Market loans in course of repayment,,Crore of `,Q2 2017,28.71,"1,338.79",
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q2 2017,"5,326.86",0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q2 2017,"1,95,344.8","1,06,840.05",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q2 2017,0.00,0.00,
"(vi)  Special Securities converted into Marketable 
Securities",,Crore of `,Q2 2017,"64,817.95","64,817.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q2 2017,442.85,442.85,
(viii) 14 day Treasury Bills,,Crore of `,Q2 2017,"1,18,465.63","1,56,569.67",
(ix) 182 day Treasury Bills,,Crore of `,Q2 2017,"87,990.70","85,436.30",
(x) Market stabilisation Scheme,,Crore of `,Q2 2017,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q2 2017,"2,550.00",0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q2 2017,"1,42,980.6","142,525.75",
(xiii) Gold Bonds.,,Crore of `,Q2 2017,"5,357.57","3,451.21",
(xiv) Compensation & other bonds,,Crore of `,Q2 2017,"47,022.52","41,232.49",
(xv) Securities issued to International Financial Institutions,,Crore of `,Q2 2017,"1,01,988.9","1,08,739.66",
(xvi) Securities against Small Savings,,Crore of `,Q2 2017,"1,50,076.71","1,20,440.38",
"(xvii)Spl.GOI Sec.issued to NSSF against  reinvestment of 
Central Govt. Securities",,Crore of `,Q2 2017,"2,50,719.5","1,88,570.81",
Total-Internal debt,,Crore of `,Q2 2017,"59,53,924.83","56,69,872.46",
2.External debt #,,Crore of `,Q2 2017,"4,43,942.57","4,43,237.27",
Total Public debt,,Crore of `,Q2 2017,"63,97,867.4","61,13,109.73",
B. Other liabilities,,Crore of `,Q2 2017,"7,68,354.23","8,21,091.3",
1. National Small Savings Fund,,Crore of `,Q2 2017,"56,312.41","1,09,801.81",
2 . State Provident Funds,,Crore of `,Q2 2017,"1,86,855.37","1,83,531.04",
3. Other Accounts,,Crore of `,Q2 2017,"3,22,440.66","3,21,856.73",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q2 2017,"1,02,863.2","1,02,928.81",
(ii) Other items.,,Crore of `,Q2 2017,"2,19,577.46","2,18,927.92",
4. Reserve Funds & Deposits,,Crore of `,Q2 2017,"2,02,745.79","2,05,901.72",
(i) Bearing interest,,Crore of `,Q2 2017,"1,23,482.68","1,28,238.75",
(ii) Not bearing interest,,Crore of `,Q2 2017,"79,263.11","77,662.97",
TOTAL DEBT,,Crore of `,Q2 2017,"71,66,221.63","69,34,201.03",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q2 2017,"273,839.79","3,31,579.16",
(ii) Outstanding guaranteed debt,,Crore of `,Q2 2017,"234,816.62","2,51,917.02",
"Note: * Current, ** Previous, ***Q 1= First  Quarter  (Apr - Jun 2017)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-June 2017.,,,,,,
