0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,"Previous Data   Dec 
2016","Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Jan/17 - Mar/17,,"61,13,109.73","61,84,106.43",-1.1%
2.External debt,` Crore,Jan/17 - Mar/17,,"4,43,237.27","4,50,373.28",-1.6%
3.Internal debt,` Crore,Jan/17 - Mar/17,,"56,69,872.46","57,33,733.15",-1.1%
4 Other liabilities,` Crore,Jan/17 - Mar/17,,"8,21,091.3","8,24,104.09",-0.4%
5. TOTAL DEBT (1+4),` Crore,Jan/17 - Mar/17,,"69,34,201.03","70,08,210.521",-1.1%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Jan/17 - Mar/17,,"3,31,579.16","3,28,651.66",0.9%
II.Outstanding guaranteed debt,` Crore,Jan/17 - Mar/17,,"2,51,917.02","2,87,939.09",-12.5%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q1 2017,"46,49,466.55","46,61,884.87",
(ii) Market loans in course of repayment,,Crore of `,Q1 2017,"1,338.79","4,147.56",
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q1 2017,0.00,"2,315.98",
(iv) 91 day Treasury Bills,,Crore of `,Q1 2017,"1,06,840.05","1,86,765.35",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q1 2017,0.00,0.00,
"(vi)  Special Securities converted into Marketable 
Securities",,Crore of `,Q1 2017,"64,817.95","64,817,95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q1 2017,442.85,"1,489.28",
(viii) 14 day Treasury Bills,,Crore of `,Q1 2017,"1,56,569.67","1,06,775.35",
(ix) 182 day Treasury Bills,,Crore of `,Q1 2017,"85,436.30","94,456,06",
(x) Market stabilisation Scheme,,Crore of `,Q1 2017,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q1 2017,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q1 2017,"142,525.75","1,56,533.74",
(xiii) Gold Bonds.,,Crore of `,Q1 2017,"3,451.21",0.00,
(xiv) Compensation & other bonds,,Crore of `,Q1 2017,"41,232.49","35,068,35",
(xv) Securities issued to International Financial Institutions,,Crore of `,Q1 2017,"1,08,739.66","1,08,524.88",
(xvi) Securities against Small Savings,,Crore of `,Q1 2017,"1,20,440.38","1,22,382.52",
"(xvii)Spl.GOI Sec.issued to NSSF against  reinvestment of 
Central Govt. Securities",,Crore of `,Q1 2017,"1,88,570.81","1,88,570.81",
Total-Internal debt,,Crore of `,Q1 2017,"56,69,872.46","57,33,733.15",
2.External debt #,,Crore of `,Q1 2017,"4,43,237.27","4,50,373.28",
Total Public debt,,Crore of `,Q1 2017,"61,13,109.73","61,84,106.43",
B. Other liabilities,,Crore of `,Q1 2017,"8,21,091.3","8,24,104.09",
1. National Small Savings Fund,,Crore of `,Q1 2017,"1,09,801.81","1,33,312.46",
2 . State Provident Funds,,Crore of `,Q1 2017,"1,83,531.04","1,72,822.05",
3. Other Accounts,,Crore of `,Q1 2017,"3,21,856.73","3,19,586.51",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q1 2017,"1,02,928.81","1,02,977.50",
(ii) Other items.,,Crore of `,Q1 2017,"2,18,927.92","2,16,609.01",
4. Reserve Funds & Deposits,,Crore of `,Q1 2017,"2,05,901.72","1,98,383.07",
(i) Bearing interest,,Crore of `,Q1 2017,"1,28,238.75","1,20,272.84",
(ii) Not bearing interest,,Crore of `,Q1 2017,"77,662.97","78,110.23",
TOTAL DEBT,,Crore of `,Q1 2017,"69,34,201.03","70,08,210.521",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q1 2017,"3,31,579.16","3,28,651.66",
(ii) Outstanding guaranteed debt,,Crore of `,Q1 2017,"2,51,917.02","2,87,939.09",
"Note: * Current, ** Previous, ***Q 1= First  Quarter  (Jan - Mar 2017)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-Mar 2017.,,,,,,
