0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Oct/18 - Dec/18,,"74,67,901.56","73,22,311.03",2.0%
2. External debt,` Crore,Oct/18 - Dec/18,,"5,16,172.54","5,25,765.23",-1.8%
3. Internal debt,` Crore,Oct/18 - Dec/18,,"69,51,729.02","67,96,545.80",2.3%
4. Other liabilities,` Crore,Oct/18 - Dec/18,,"8,72,125.02","8,80,941.97",-1.0%
5. TOTAL DEBT (1+4),` Crore,Oct/18 - Dec/18,,"83,40,026.58","82,03,253.00",1.7%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Oct/18 - Dec/18,,"3,72,242.33^","3,72,242.33",
II.Outstanding guaranteed debt,` Crore,Oct/18 - Dec/18,,"2,86,241.27^","2,86,241.27",
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of `,Q4 2018,"53,91,951.56","52,65,284.38",
(ii) Market loans in course of repayment,,Crore of `,Q4 2018,20.20,20.24,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q4 2018,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q4 2018,"1,78,710.82","2,12,842.62",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q4 2018,0.00,0.00,
"(vi) Special Securities converted into Marketable 
Securities",,Crore of `,Q4 2018,"47,687.95","47,687.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q4 2018,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of `,Q4 2018,"1,41,375.71","1,35,645.68",
(ix) 182 day Treasury Bills,,Crore of `,Q4 2018,"1,38,264.31","1,38,217.24",
(x) Market stabilisation Scheme,,Crore of `,Q4 2018,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q4 2018,0.00,"23,411.00",
(xii) 364 day Treasury Bills,,Crore of `,Q4 2018,"2,17,096.00","1,90,043.00",
(xiii) Gold Bonds,,Crore of `,Q4 2018,9574.96^^,"9,089.53",
(xiv) Compensation & other bonds,,Crore of `,Q4 2018,"67,343.28","66,868.19",
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q4 2018,"99,636.40","1,00,991.27",
(xvi) Securities against Small Savings,,Crore of `,Q4 2018,"5,28,534.83","5,07,322.70",
(xvii) Cash Management Bills,,Crore of `,Q4 2018,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of `,Q4 2018,"1,31,533.00","99,122.00",
Total-Internal debt,,Crore of `,Q4 2018,"69,51,729.02","67,96,545.80",
2. External debt #,,Crore of `,Q4 2018,"5,16,172.54","5,25,765.23",
Total Public debt,,Crore of `,Q4 2018,"74,67,901.56","73,22,311.03",
B. Other Liabilities,,Crore of `,Q4 2018,"8,72,125.02","8,80,941.97",
1.  National Small Savings Fund,,Crore of `,Q4 2018,"1,10,357.04","90,920.65",
2. State Provident Funds,,Crore of `,Q4 2018,"2,06,090.51","2,05,028.25",
3. Other Accounts,,Crore of `,Q4 2018,"3,24,286.08","3,24,341.02",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q4 2018,"1,02,177.87","1,02,341.23",
(ii) Other items.,,Crore of `,Q4 2018,"2,22,108.21","2,21,999.79",
4. Reserve Funds & Deposits,,Crore of `,Q4 2018,"2,31,391.39","2,60,652.05",
(i) Bearing interest,,Crore of `,Q4 2018,"1,45,949.59","1,44,769.15",
(ii) Not bearing interest,,Crore of `,Q4 2018,"85,441.80","1,15,882.90",
TOTAL DEBT,,Crore of `,Q4 2018,"83,40,026.58","82,03,253.00",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q4 2018,"3,72,242.33^","3,72,242.33",
(ii) Outstanding guaranteed debt,,Crore of `,Q4 2018,"2,86,241.27^","2,86,241.27",
"Note: * Current, ** Previous, ***Q4= Fourth Quarter  (Oct-Dec 2018)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-December 2018,,,,,,
^ Data pertains to Q3 2018,,,,,,
^^ Includes Gold Monetisation Scheme,,,,,,
