0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage 
change from"
1. Public debt (2+3),₹ Crore,Apr/22 - Jun/22,,"1,28,72,723.45","1,22,94,091.22","previous to 
4.7%"
2. External debt,₹ Crore,Apr/22 - Jun/22,,"8,51,805.95","8,31,748.42",2.4%
3. Internal debt,₹ Crore,Apr/22 - Jun/22,,"1,20,20,917.50","1,14,62,342.80",4.9%
4. Other liabilities^^,₹ Crore,Apr/22 - Jun/22,,"12,31,126.17","11,88,752.49",3.6%
5. TOTAL DEBT (1+4),₹ Crore,Apr/22 - Jun/22,,"1,41,03,849.62","1,34,82,843.71",4.6%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,₹ Crore,Apr/22 - Jun/22,,"5,02,241.63","5,59,737.81",-10.3%
II. Outstanding guaranteed debt,₹ Crore,Apr/22 - Jun/22,,"4,06,872.21","4,18,682.64",-2.8%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**","More info 
Metadata Home"
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of ₹,Q2 2022,"82,81,911.42","80,26,708.87",
(ii) Market loans in course of repayment,,Crore of ₹,Q2 2022,16.33,16.09,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of ₹,Q2 2022,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of ₹,Q2 2022,"2,41,010.10","1,38,735.95",
(v) 91 day T.Bs funded into Spl Securities,,Crore of ₹,Q2 2022,0.00,0.00,
(vi) Special Securities converted into Marketable Securities,,Crore of ₹,Q2 2022,"33,359.99","33,359.99",
(vii) Other Special Securities issued to RBI,,Crore of ₹,Q2 2022,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of ₹,Q2 2022,"1,73,714.89","2,16,766.00",
(ix) 182 day Treasury Bills,,Crore of ₹,Q2 2022,"3,42,217.96","2,10,666.06",
(x) Market stabilisation Scheme,,Crore of ₹,Q2 2022,0.00,0.00,
(xi) Ways and Means Advances,,Crore of ₹,Q2 2022,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of ₹,Q2 2022,"4,38,825.26","4,07,796.43",
(xiii) Gold Bonds ^,,Crore of ₹,Q2 2022,"46,955.04","45,558.65",
(xiv) Compensation & other bonds,,Crore of ₹,Q2 2022,"1,09,654.91","1,06,537.01",
(xv) Securities issued to International Financial Institutions,,Crore of ₹,Q2 2022,"1,00,786.02","1,01,329.47",
(xvi) Securities against Small Savings,,Crore of ₹,Q2 2022,"19,61,517.98","18,83,920.68",
(xvii) Cash Management Bills,,Crore of ₹,Q2 2022,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of ₹,Q2 2022,"2,90,947.60","2,90,947.60",
Total-Internal debt,,Crore of ₹,Q2 2022,"1,20,20,917.50","1,14,62,342.80",
2. External debt #,,Crore of ₹,Q2 2022,"8,51,805.95","8,31,748.42",
Total Public debt,,Crore of ₹,Q2 2022,"1,28,72,723.45","1,22,94,091.22",
B. Public Account  - Other Liabilities,,Crore of ₹,Q2 2022,"12,31,126.17","11,88,752.49",
1.  National Small Savings Fund,,Crore of ₹,Q2 2022,"61,741.00","60,374.00",
2. State Provident Funds,,Crore of ₹,Q2 2022,"2,53,253.71","2,57,260.00",
3. Other Accounts,,Crore of ₹,Q2 2022,"4,51,354.00","4,51,353.49",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of ₹,Q2 2022,"1,00,125.40","1,00,240.49",
(ii) Other items.,,Crore of ₹,Q2 2022,"3,51,228.60","3,51,113.00",
4. Reserve Funds & Deposits,,Crore of ₹,Q2 2022,"4,64,777.46","4,19,765.00",
(i) Bearing interest,,Crore of ₹,Q2 2022,"2,54,488.32","2,48,846.00",
(ii) Not bearing interest,,Crore of ₹,Q2 2022,"2,10,289.14","1,70,919.00",
TOTAL DEBT,,Crore of ₹,Q2 2022,"1,41,03,849.62","1,34,82,843.71",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of ₹,Q2 2022,"5,02,241.63","5,59,737.81",
(ii) Outstanding guaranteed debt,,Crore of ₹,Q2 2022,"4,06,872.21","4,18,682.64",
"Note: * Current, ** Previous, ***Q2= Second Quarter  (Apr - Jun 2022)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation from March 2004 onwards ( ₹173414.54 crore for 31st March 2022 and ₹173450.95 crore,,,,,,
for 30th June 2022),,,,,,
^ Includes Gold Monetisation Scheme,,,,,,
"^^ Excluding Investment in special securities of States under NSSF, NSSF Investments in public agencies, EBRs and adjusted Cash Balance at 
quarter end",,,,,,
