0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,July/17- Sep/17,,"65,80,599.29","63,97,867.4",2.9%
2.External debt,` Crore,July/17- Sep/17,,"4,61,105.8","4,49,212.77",2.6%
3.Internal debt,` Crore,July/17- Sep/17,,"61,19,493.49","59,53,924.83",2.8%
4 Other liabilities,` Crore,July/17- Sep/17,,"8,10,427.95","7,68,354.23",5.5%
5. TOTAL DEBT (1+4),` Crore,July/17- Sep/17,,"73,91,027.24","71,66,221.63",3.1%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,July/17- Sep/17,,"2,89,164.08","2,73,839.79",5.6%
II.Outstanding guaranteed debt,` Crore,July/17- Sep/17,,"2,53,203.69","2,34,816.62",7.8%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q3 2017,"48,88,872.63","47,80,811.53",
(ii) Market loans in course of repayment,,Crore of `,Q3 2017,20.70,28.71,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q3 2017,"5,326.86","5,326.86",
(iv) 91 day Treasury Bills,,Crore of `,Q3 2017,"2,32,525.62","1,95,344.8",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q3 2017,0.00,0.00,
"(vi)  Special Securities converted into Marketable 
Securities",,Crore of `,Q3 2017,"59,817.95","64,817.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q3 2017,0.00,442.85,
(viii) 14 day Treasury Bills,,Crore of `,Q3 2017,"1,26,267.33","1,18,465.63",
(ix) 182 day Treasury Bills,,Crore of `,Q3 2017,"98,544.75","87,990.70",
(x) Market stabilisation Scheme,,Crore of `,Q3 2017,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q3 2017,0.00,"2,550.00",
(xii) 364 day Treasury Bills,,Crore of `,Q3 2017,"1,44,990.13","1,42,980.6",
(xiii) Gold Bonds.,,Crore of `,Q3 2017,"6,010.86","5,357.57",
(xiv) Compensation & other bonds,,Crore of `,Q3 2017,"54,326.23","47,022.52",
(xv) Securities issued to International Financial Institutions,,Crore of `,Q3 2017,"1,02,510.59","1,01,988.9",
(xvi) Securities against Small Savings,,Crore of `,Q3 2017,"1,49,560.34","1,50,076.71",
"(xvii)Spl.GOI Sec.issued to NSSF against  reinvestment of 
Central Govt. Securities",,Crore of `,Q3 2017,"250,719.50","2,50,719.5",
Total-Internal debt,,Crore of `,Q3 2017,"61,19,493.49","59,53,924.83",
2.External debt #,,Crore of `,Q3 2017,"4,61,105.8","4,43,942.57",
Total Public debt,,Crore of `,Q3 2017,"65,80,599.29","63,97,867.4",
B. Other liabilities,,Crore of `,Q3 2017,"8,10,427.95","7,68,354.23",
1. National Small Savings Fund,,Crore of `,Q3 2017,"95,957.70","56,312.41",
2 . State Provident Funds,,Crore of `,Q3 2017,"1,89,098.25","1,86,855.37",
3. Other Accounts,,Crore of `,Q3 2017,"3,22,295.31","3,22,440.66",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q3 2017,"1,02,775.72","1,02,863.2",
(ii) Other items.,,Crore of `,Q3 2017,"2,19,519.59","2,19,577.46",
4. Reserve Funds & Deposits,,Crore of `,Q3 2017,"2,03,076.69","2,02,745.79",
(i) Bearing interest,,Crore of `,Q3 2017,"1,25,234.74","1,23,482.68",
(ii) Not bearing interest,,Crore of `,Q3 2017,"77,841.95","79,263.11",
TOTAL DEBT,,Crore of `,Q3 2017,"73,91,027.24","71,66,221.63",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q3 2017,"2,89,164.08","273,839.79",
(ii) Outstanding guaranteed debt,,Crore of `,Q3 2017,"2,53,203.69","2,34,816.62",
"Note: * Current, ** Previous, ***Q 3= Third Quarter  (July - Sep 2017)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-September 2017.,,,,,,
